<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
APTK;W;20190930;000000;12.2200000;12.3920000;11.8000000;11.9720000;1044560
APTK;W;20191007;000000;11.9700000;12.1860000;11.7510000;11.7810000;990750
APTK;W;20191014;000000;11.7800000;11.9900000;11.7800000;11.8900000;551970
APTK;W;20191021;000000;11.9000000;11.9390000;11.8300000;11.8700000;451330
APTK;W;20191028;000000;11.8660000;12.6000000;11.8600000;11.9960000;971350
APTK;W;20191104;000000;12.0000000;12.1600000;11.8600000;11.8780000;416060
APTK;W;20191111;000000;11.8940000;11.9980000;11.8200000;11.8600000;511010
APTK;W;20191118;000000;11.9400000;12.0340000;11.8500000;11.9440000;770450
APTK;W;20191125;000000;11.9040000;13.1700000;11.8480000;12.4700000;5346250
APTK;W;20191202;000000;12.5440000;12.6620000;12.0040000;12.0200000;2909710
APTK;W;20191209;000000;12.0200000;12.1100000;11.9000000;11.9300000;2875160
APTK;W;20191216;000000;12.0100000;12.0880000;11.8600000;11.9480000;2057490
APTK;W;20191223;000000;11.9480000;12.8400000;11.8800000;12.1700000;3931790
APTK;W;20191230;000000;12.2000000;12.2900000;12.0000000;12.1100000;1261400
APTK;W;20200106;000000;12.1200000;12.1460000;11.9000000;12.0020000;1212610
APTK;W;20200113;000000;12.0020000;12.1500000;11.9120000;11.9980000;1545090
APTK;W;20200120;000000;12.0000000;16.0000000;11.9000000;12.7700000;38931910
APTK;W;20200127;000000;12.9320000;13.9000000;12.7500000;12.9240000;31280150
APTK;W;20200203;000000;12.9260000;13.4200000;12.4380000;12.7560000;8981110
APTK;W;20200210;000000;12.7560000;13.0000000;12.2000000;12.2820000;5056770
APTK;W;20200217;000000;12.2800000;12.6700000;12.2780000;12.3500000;2027860
APTK;W;20200224;000000;12.3520000;12.5160000;11.2800000;12.1500000;8677400
APTK;W;20200302;000000;12.2400000;13.4700000;8.4940000;12.1300000;14244160
APTK;W;20200309;000000;10.5000000;11.5580000;9.0700000;10.1420000;9089200
APTK;W;20200316;000000;10.3420000;13.3600000;9.8200000;12.6000000;24501040
APTK;W;20200323;000000;12.5200000;14.6000000;12.4000000;13.3000000;32746980
APTK;W;20200330;000000;13.3980000;14.7000000;13.1440000;13.5940000;14718070
APTK;W;20200406;000000;13.3240000;14.0000000;12.6780000;12.9560000;10408420
APTK;W;20200413;000000;12.9980000;13.7980000;12.5500000;13.1520000;18868390
APTK;W;20200420;000000;13.1540000;13.8080000;12.7100000;13.8000000;9022970
APTK;W;20200427;000000;13.7420000;14.3820000;13.5100000;14.0220000;13622470
APTK;W;20200504;000000;14.0220000;14.2480000;13.5000000;13.6000000;5631320
APTK;W;20200511;000000;13.7940000;13.7940000;13.1120000;13.3500000;2541190
APTK;W;20200518;000000;13.5280000;14.2000000;13.1000000;13.8680000;9109380
APTK;W;20200525;000000;13.8480000;14.2000000;13.5500000;13.6340000;8813910
APTK;W;20200601;000000;13.6360000;14.7000000;13.3400000;13.7560000;15005340
APTK;W;20200608;000000;13.7000000;14.1500000;13.5200000;13.9500000;11675750
APTK;W;20200615;000000;13.8520000;14.5000000;13.6620000;13.8500000;9679730
APTK;W;20200622;000000;13.8200000;14.5400000;13.6220000;14.0580000;17785420
APTK;W;20200629;000000;14.0580000;14.9720000;13.7600000;14.0800000;23599210
APTK;W;20200706;000000;14.1420000;14.4500000;13.7280000;13.8680000;4940410
APTK;W;20200713;000000;13.8480000;13.8660000;13.3600000;13.4260000;2186590
APTK;W;20200720;000000;13.4280000;13.7440000;13.4260000;13.5480000;1294950
APTK;W;20200727;000000;13.5980000;13.6240000;13.1520000;13.3960000;1676590
APTK;W;20200803;000000;13.3960000;13.5960000;13.2200000;13.2960000;2233480
APTK;W;20200810;000000;13.3540000;13.6000000;13.2600000;13.4360000;1398910
APTK;W;20200817;000000;13.4320000;13.5180000;13.3700000;13.4120000;851760
APTK;W;20200824;000000;13.4200000;13.5000000;13.3220000;13.4540000;1015240
APTK;W;20200831;000000;13.4780000;13.5000000;13.3420000;13.4180000;1295970
APTK;W;20200907;000000;13.4200000;13.5840000;12.9000000;13.4400000;3216990
APTK;W;20200914;000000;13.4400000;13.5080000;13.3020000;13.4180000;686160
APTK;W;20200921;000000;13.4360000;14.4000000;13.4000000;13.6420000;6489810
APTK;W;20200928;000000;13.6500000;14.3800000;13.5400000;13.7940000;9039070
