<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;M;20221101;000000;170.8900000;172.0000000;161.7900000;167.7000000;348461150
GAZP;M;20221201;000000;168.0000000;168.7600000;156.5000000;162.5600000;312686550
GAZP;M;20230101;000000;163.0200000;167.1900000;156.7100000;158.1000000;268690020
GAZP;M;20230201;000000;158.3400000;163.9600000;150.6000000;157.6600000;373408030
GAZP;M;20230301;000000;158.0000000;177.2500000;157.9900000;169.8300000;769874810
GAZP;M;20230401;000000;170.9800000;185.3200000;169.0000000;181.1300000;761518450
GAZP;M;20230501;000000;181.0100000;181.8600000;160.4700000;162.9400000;923837870
GAZP;M;20230601;000000;162.8800000;172.4600000;161.1000000;166.8600000;471778440
GAZP;M;20230701;000000;167.2800000;175.7000000;165.0200000;174.3300000;425104380
GAZP;M;20230801;000000;175.0900000;183.8900000;170.6000000;177.9900000;987026290
GAZP;M;20230901;000000;178.0900000;184.0000000;163.5100000;167.0900000;660850430
GAZP;M;20231001;000000;167.7900000;173.3000000;165.3000000;167.8800000;465805850
GAZP;M;20231101;000000;167.8800000;170.2300000;167.8300000;168.2000000;21089710
