<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,W,20190930,000000,228.5700000,229.5600000,221.8700000,222.7600000,172924270
SBER,W,20191007,000000,223.1700000,231.2000000,222.4100000,230.3100000,179884970
SBER,W,20191014,000000,230.2900000,236.0300000,227.0000000,235.5500000,193186400
SBER,W,20191021,000000,236.0200000,242.7800000,234.0400000,240.0000000,193379630
SBER,W,20191028,000000,240.5100000,242.3300000,232.8000000,236.4000000,223504160
SBER,W,20191104,000000,239.6000000,242.9500000,236.5200000,240.1700000,151752320
SBER,W,20191111,000000,239.0200000,243.7400000,235.8100000,240.0000000,158966780
SBER,W,20191118,000000,240.5900000,241.2300000,235.8000000,238.1300000,148339210
SBER,W,20191125,000000,238.6800000,239.7500000,231.9700000,233.9800000,143815110
SBER,W,20191202,000000,234.5900000,236.3700000,229.0300000,235.1400000,135571870
SBER,W,20191209,000000,235.4600000,243.2500000,234.3000000,241.2100000,181008170
SBER,W,20191216,000000,242.0200000,248.4000000,240.1300000,244.7100000,207864600
SBER,W,20191223,000000,244.7500000,252.9500000,244.0700000,252.0600000,97764870
SBER,W,20191230,000000,252.0900000,258.1900000,250.7300000,255.0000000,78956090
SBER,W,20200106,000000,254.7500000,261.7600000,251.4000000,258.1900000,120101920
SBER,W,20200113,000000,258.2100000,263.2200000,254.2100000,262.5000000,191392290
SBER,W,20200120,000000,263.2200000,270.8000000,261.8000000,265.4900000,179578470
SBER,W,20200127,000000,260.9900000,262.1000000,252.1700000,252.2000000,218206590
SBER,W,20200203,000000,251.8000000,258.0000000,248.7300000,254.3000000,246451020
SBER,W,20200210,000000,254.5500000,259.7700000,251.4000000,251.7500000,233412110
SBER,W,20200217,000000,252.5000000,253.1000000,247.2400000,250.8000000,146761600
SBER,W,20200224,000000,247.9800000,251.2100000,231.0000000,233.3600000,289109440
SBER,W,20200302,000000,238.5500000,241.0000000,216.6700000,219.9900000,400250580
SBER,W,20200309,000000,197.9900000,212.7400000,173.1400000,198.6000000,840854990
SBER,W,20200316,000000,194.0000000,204.7800000,172.1500000,195.6900000,869342810
SBER,W,20200323,000000,188.0000000,201.0000000,180.1700000,180.3800000,675141720
SBER,W,20200330,000000,177.0300000,189.9000000,174.9000000,185.6400000,502069960
SBER,W,20200406,000000,187.5200000,205.4400000,186.4200000,201.9900000,441885620
SBER,W,20200413,000000,201.9900000,202.8500000,183.5300000,191.8000000,399899690
SBER,W,20200420,000000,190.6000000,192.5000000,183.6500000,188.9100000,349243800
SBER,W,20200427,000000,189.9500000,199.7000000,188.1700000,197.2500000,278977490
SBER,W,20200504,000000,195.6800000,198.1500000,193.2600000,196.0200000,232439590
SBER,W,20200511,000000,193.3000000,198.0000000,183.3300000,183.8500000,270093960
SBER,W,20200518,000000,186.0600000,196.3100000,185.4000000,188.9000000,412050450
SBER,W,20200525,000000,189.6200000,205.0000000,188.8000000,200.5000000,441628500
SBER,W,20200601,000000,203.1000000,221.9200000,201.8100000,219.1000000,537319940
SBER,W,20200608,000000,219.7300000,223.1500000,206.0100000,208.3500000,319287950
SBER,W,20200615,000000,205.0700000,212.1900000,202.3000000,207.0000000,345212890
SBER,W,20200622,000000,206.7000000,209.7400000,200.7500000,203.1500000,228882890
SBER,W,20200629,000000,201.0900000,211.9700000,200.9700000,210.9500000,213076840
SBER,W,20200706,000000,212.9400000,216.7900000,206.5700000,212.2800000,237587770
SBER,W,20200713,000000,213.8600000,214.2000000,205.7000000,210.8100000,241709710
SBER,W,20200720,000000,210.2700000,219.2800000,197.7300000,215.9700000,264865800
SBER,W,20200727,000000,216.6400000,221.9800000,215.1500000,221.5700000,214988630
SBER,W,20200803,000000,222.2700000,229.1700000,221.3000000,227.2800000,226832890
SBER,W,20200810,000000,227.8800000,244.0400000,224.5100000,239.9900000,356123750
SBER,W,20200817,000000,240.8000000,242.3500000,227.3500000,231.2200000,407685810
SBER,W,20200824,000000,232.5000000,233.7000000,224.7000000,226.3000000,270832880
SBER,W,20200831,000000,227.0200000,229.7100000,216.7500000,222.2100000,317097730
SBER,W,20200907,000000,221.5800000,224.2000000,215.7900000,221.0700000,293799500
SBER,W,20200914,000000,222.3200000,232.6000000,222.1300000,230.3000000,267519580
SBER,W,20200921,000000,229.8800000,232.1000000,223.4900000,228.2400000,349917970
SBER,W,20200928,000000,228.7900000,230.7500000,206.5000000,208.8000000,424194340
